Krylia Sovetov (Russian),Shinnik (Russian)
Lokomotiv Moscow (Russian),Dynamo Moscow (Russian)
Lokomotiv Moscow (Russian),Reading (English)
Lokomotiv Moscow (Russian),Shinnik (Russian)
Lokomotiv Moscow (Russian),Dynamo Moscow (Russian)
Lokomotiv Moscow (Russian),FC Rostov (Russian)
Lokomotiv Moscow (Russian),Tom Tomsk (Russian)
Lokomotiv Moscow (Russian),Spartak Nalchik (Russian)
Lokomotiv Moscow (Russian),Dynamo Moscow (Russian)
Lokomotiv Moscow (Russian),Saturn (Russian)
Rubin Kazan (Russian),Shinnik (Russian)
Saturn (Russian),FC Moscow (Russian)
Saturn (Russian),Rubin Kazan (Russian)
Saturn (Russian),Spartak Moscow (Russian)
Saturn (Russian),Vasco da Gama (Brazilian)
Saturn (Russian),Spartak Nalchik (Russian)
Saturn (Russian),Spartak Nalchik (Russian)
Saturn (Russian),Krylia Sovetov (Russian)
Shinnik (Russian),Tom Tomsk (Russian)
Shinnik (Russian),Krylia Sovetov (Russian)
Shinnik (Russian),Krylia Sovetov (Russian)
Shinnik (Russian),Spartak Nalchik (Russian)
Spartak Moscow (Russian),Bordeaux (French)
Terek Grozny (Russian),Chernomorets Odessa (Ukrainian)
Terek Grozny (Russian),Gaziantepspor (Turkish)
Samsunspor (Turkish),Gaziantepspor (Turkish)
Terek Grozny (Russian),Spartak Nalchik (Russian)
Terek Grozny (Russian),FC Moscow (Russian)
Terek Grozny (Russian),Luch-Energia Vladivostok (Russian)
Terek Grozny (Russian),Lokomotiv Moscow (Russian)
Terek Grozny (Russian),Heart of Midlothian (Scottish)
Terek Grozny (Russian),Chernomorets Odessa (Ukrainian)
Tom Tomsk (Russian),Shinnik (Russian)
Tom Tomsk (Russian),Krylia Sovetov (Russian)
Tom Tomsk (Russian),Rubin Kazan (Russian)
Torpedo Moscow (Russian),Dynamo Moscow (Russian)
Torpedo Moscow (Russian),Zenit St. Petersburg (Russian)
Zenit St. Petersburg (Russian),Dynamo Moscow (Russian)
Zenit St. Petersburg (Russian),Saturn (Russian)
Chicago Fire (USA),Real Salt Lake (USA)
Chicago Fire (USA),Chivas USA (USA)
Chicago Fire (USA),Sporting Kansas City (USA)
Chicago Fire (USA),SC Heerenveen (Dutch)
Chivas USA (USA),Columbus Crew (USA)
Chivas USA (USA),Real Salt Lake (USA)
Chivas USA (USA),Real Salt Lake (USA)
Chivas USA (USA),Colorado Rapids (USA)
Colorado Rapids (USA),Columbus Crew (USA)
Colorado Rapids (USA),Odd (Norwegian)
Colorado Rapids (USA),Brøndby (Danish)
Colorado Rapids (USA),Real Salt Lake (USA)
Columbus Crew (USA),Colorado Rapids (USA)
Columbus Crew (USA),Los Angeles Galaxy (USA)
Columbus Crew (USA),New York Red Bulls (USA)
Columbus Crew (USA),Houston Dynamo (USA)
Columbus Crew (USA),New York Red Bulls (USA)
Columbus Crew (USA),Colorado Rapids (USA)
Columbus Crew (USA),Los Angeles Galaxy (USA)
Columbus Crew (USA),D.C. United (USA)
FC Dallas (USA),Real Salt Lake (USA)
FC Dallas (USA),Real Salt Lake (USA)
FC Dallas (USA),New York Red Bulls (USA)
FC Dallas (USA),Sporting Kansas City (USA)
D.C. United (USA),Nueva Chicago (Argentinian)
D.C. United (USA),Los Angeles Galaxy (USA)
D.C. United (USA),New York Red Bulls (USA)
Sporting Kansas City (USA),Chicago Fire (USA)
Sporting Kansas City (USA),Real Salt Lake (USA)
Sporting Kansas City (USA),Houston Dynamo (USA)
Los Angeles Galaxy (USA),New York Red Bulls (USA)
Los Angeles Galaxy (USA),Columbus Crew (USA)
Los Angeles Galaxy (USA),Columbus Crew (USA)
Los Angeles Galaxy (USA),SCR Altach (Austrian)
Los Angeles Galaxy (USA),FC Dallas (USA)
New York Red Bulls (USA),Columbus Crew (USA)
New York Red Bulls (USA),Columbus Crew (USA)
New York Red Bulls (USA),Houston Dynamo (USA)
New York Red Bulls (USA),SC Heerenveen (Dutch)
New York Red Bulls (USA),Chivas USA (USA)
New York Red Bulls (USA),Chivas USA (USA)
New York Red Bulls (USA),Columbus Crew (USA)
New York Red Bulls (USA),Chivas USA (USA)
New England Revolution (USA),Fulham (English)
Real Salt Lake (USA),Columbus Crew (USA)
Real Salt Lake (USA),New York Red Bulls (USA)
Real Salt Lake (USA),Colorado Rapids (USA)
Real Salt Lake (USA),Colorado Rapids (USA)
San Jose Earthquakes (USA),New York Red Bulls (USA)
San Jose Earthquakes (USA),Houston Dynamo (USA)
San Jose Earthquakes (USA),Houston Dynamo (USA)
San Jose Earthquakes (USA),Aalborg (Danish)
San Jose Earthquakes (USA),Houston Dynamo (USA)
San Jose Earthquakes (USA),Houston Dynamo (USA)
San Jose Earthquakes (USA),Houston Dynamo (USA)
San Jose Earthquakes (USA),Houston Dynamo (USA)
San Jose Earthquakes (USA),Houston Dynamo (USA)
San Jose Earthquakes (USA),Houston Dynamo (USA)
San Jose Earthquakes (USA),Houston Dynamo (USA)
San Jose Earthquakes (USA),Houston Dynamo (USA)
San Jose Earthquakes (USA),Houston Dynamo (USA)
San Jose Earthquakes (USA),Houston Dynamo (USA)
San Jose Earthquakes (USA),Houston Dynamo (USA)
San Jose Earthquakes (USA),Houston Dynamo (USA)
San Jose Earthquakes (USA),New York Red Bulls (USA)
San Jose Earthquakes (USA),Houston Dynamo (USA)
San Jose Earthquakes (USA),Houston Dynamo (USA)
San Jose Earthquakes (USA),Houston Dynamo (USA)
Admira Wacker (Austrian),Rapid Vienna (Austrian)
Admira Wacker (Austrian),Rapid Vienna (Austrian)
Admira Wacker (Austrian),Grazer AK (Austrian)
Austria Salzburg (Austrian),Siena (Italian)
Austria Salzburg (Austrian),SV Ried (Austrian)
Austria Salzburg (Austrian),SCR Altach (Austrian)
Austria Salzburg (Austrian),Panathinaikos (Greek)
Austria Salzburg (Austrian),Austria Vienna (Austrian)
Austria Salzburg (Austrian),New York Red Bulls (USA)
Austria Salzburg (Austrian),FC Superfund (Austrian)
Austria Salzburg (Austrian),FC Superfund (Austrian)
Austria Salzburg (Austrian),Austria Vienna (Austrian)
Austria Vienna (Austrian),AZ Alkmaar (Dutch)
Austria Vienna (Austrian),Panathinaikos (Greek)
Austria Vienna (Austrian),FC Superfund (Austrian)
Austria Vienna (Austrian),Rangers (Scottish)
Austria Vienna (Austrian),Willem II (Dutch)
Austria Vienna (Austrian),Germinal Beerschot (Belgian)
Austria Vienna (Austrian),SV Mattersburg (Austrian)
Austria Vienna (Austrian),Boavista (Portuguese)
Austria Vienna (Austrian),Rangers (Scottish)
Grazer AK (Austrian),Austria Vienna (Austrian)
Grazer AK (Austrian),Wacker Tirol (Austrian)
Grazer AK (Austrian),Rapid Vienna (Austrian)
Grazer AK (Austrian),Ergotelis (Greek)
Rapid Vienna (Austrian),Grazer AK (Austrian)
SV Ried (Austrian),Sanfrecce Hiroshima (Japanese)
SV Ried (Austrian),Austria Vienna (Austrian)
Sturm Graz (Austrian),Austria Vienna (Austrian)
FC Superfund (Austrian),SV Ried (Austrian)
FC Superfund (Austrian),Skoda Xanthi (Greek)
FC Superfund (Austrian),Rapid Vienna (Austrian)
FC Superfund (Austrian),SCR Altach (Austrian)
FC Superfund (Austrian),SCR Altach (Austrian)
FC Superfund (Austrian),Austria Vienna (Austrian)
Wacker Tirol (Austrian),Rapid Vienna (Austrian)
Wacker Tirol (Austrian),Austria Vienna (Austrian)
Ajaccio (French),Lorient (French)
Ajaccio (French),Auxerre (French)
Ajaccio (French),Sedan (French)
Ajaccio (French),Gaziantepspor (Turkish)
Auxerre (French),Troyes (French)
Auxerre (French),Nantes (French)
Auxerre (French),Levante (Spanish)
Auxerre (French),Marseille (French)
Auxerre (French),Paris Saint-Germain (French)
Auxerre (French),Manisaspor (Turkish)
Bordeaux (French),Recreativo Huelva (Spanish)
Bordeaux (French),Nice (French)
Bordeaux (French),Rennes (French)
Le Mans (French),Auxerre (French)
Le Mans (French),Saint-Etienne (French)
São Paulo (Brazilian),Le Mans (French)
Lens (French),Independiente (Argentinian)
Lens (French),Troyes (French)
Lens (French),Paris Saint-Germain (French)
Lens (French),Sedan (French)
Lens (French),Rennes (French)
Lille (French),Saint-Etienne (French)
Lille (French),Saint-Etienne (French)
Lille (French),FC Brussels (Belgian)
Lille (French),FC Brussels (Belgian)
Lyon (French),Paris Saint-Germain (French)
Lyon (French),Real Madrid (Spanish)
Lyon (French),Aston Villa (English)
Lyon (French),Saint-Etienne (French)
Lyon (French),Monaco (French)
Lyon (French),Auxerre (French)
Lyon (French),Lorient (French)
Marseille (French),Cruzeiro (Brazilian)
Marseille (French),Troyes (French)
Marseille (French),Levante (Spanish)
Marseille (French),Naval (Portuguese)
Marseille (French),Bolton Wanderers (English)
Marseille (French),Nantes (French)
Metz (French),Manisaspor (Turkish)
Metz (French),Lille (French)
Metz (French),Sedan (French)
Metz (French),Lille (French)
Metz (French),Hannover 96 (German)
Metz (French),Lorient (French)
Metz (French),Charleroi (Belgian)
Monaco (French),Levante (Spanish)
Monaco (French),Nantes (French)
Monaco (French),Lyon (French)
Monaco (French),Troyes (French)
Monaco (French),Sedan (French)
Monaco (French),Nice (French)
Monaco (French),Atalanta (Italian)
Nancy (French),Auxerre (French)
Nancy (French),PSV Eindhoven (Dutch)
Nantes (French),Paris Saint-Germain (French)
Nantes (French),Lyon (French)
Nantes (French),Sedan (French)
Nantes (French),Celta Vigo (Spanish)
Nice (French),Valenciennes (French)
Nice (French),Nancy (French)
Nice (French),VfL Bochum (German)
Paris Saint-Germain (French),Nice (French)
Paris Saint-Germain (French),Sochaux (French)
Paris Saint-Germain (French),Sedan (French)
Paris Saint-Germain (French),RAEC Mons (Belgian)
Paris Saint-Germain (French),Valenciennes (French)
Paris Saint-Germain (French),Marseille (French)
Paris Saint-Germain (French),Saint-Etienne (French)
Paris Saint-Germain (French),Toulouse (French)
Rennes (French),Manchester City (English)
Rennes (French),Lyon (French)
Rennes (French),Milan (Italian)
Rennes (French),Nancy (French)
Rennes (French),Troyes (French)
Rennes (French),Lens (French)
Rennes (French),Borussia Dortmund (German)
Rennes (French),Portsmouth (English)
Rennes (French),Ascoli (Italian)
Saint-Etienne (French),Nacional (Portuguese)
Saint-Etienne (French),Tottenham Hotspur (English)
Saint-Etienne (French),Paris Saint-Germain (French)
Saint-Etienne (French),Monaco (French)
Saint-Etienne (French),FC Porto (Portuguese)
Saint-Etienne (French),Sochaux (French)
Sochaux (French),KAA Gent (Belgian)
Sochaux (French),Saint-Etienne (French)
Sochaux (French),Monaco (French)
Sochaux (French),Le Mans (French)
Sochaux (French),Charlton Athletic (English)
Strasbourg (French),Nice (French)
Strasbourg (French),VfB Stuttgart (German)
Strasbourg (French),Sporting CP (Portuguese)
Strasbourg (French),Marseille (French)
Strasbourg (French),VfB Stuttgart (German)
Strasbourg (French),Alemannia Aachen (German)
Strasbourg (French),Paris Saint-Germain (French)
Strasbourg (French),Bayer Leverkusen (German)
Strasbourg (French),Lens (French)
Strasbourg (French),Roma (Italian)
Strasbourg (French),Marseille (French)
Toulouse (French),Rennes (French)
Toulouse (French),Rennes (French)
Toulouse (French),Lorient (French)
Troyes (French),Rapid Vienna (Austrian)
Troyes (French),Sochaux (French)
Troyes (French),Sheffield United (English)
Albirex Niigata (Japanese),Sanfrecce Hiroshima (Japanese)
Albirex Niigata (Japanese),São Caetano (Brazilian)
Albirex Niigata (Japanese),Sanfrecce Hiroshima (Japanese)
Albirex Niigata (Japanese),Júbilo Iwata (Japanese)
Cerezo Osaka (Japanese),Avispa Fukuoka (Japanese)
Cerezo Osaka (Japanese),Toulouse (French)
Cerezo Osaka (Japanese),Avispa Fukuoka (Japanese)
Cerezo Osaka (Japanese),Urawa Red Diamonds (Japanese)
Cerezo Osaka (Japanese),Ventforet Kofu (Japanese)
Gamba Osaka (Japanese),Austria Salzburg (Austrian)
Gamba Osaka (Japanese),Torino (Italian)
Gamba Osaka (Japanese),Kyoto Purple Sanga (Japanese)
Gamba Osaka (Japanese),Omiya Ardija (Japanese)
Gamba Osaka (Japanese),Albirex Niigata (Japanese)
JEF United (Japanese),Kyoto Purple Sanga (Japanese)
JEF United (Japanese),Sturm Graz (Austrian)
JEF United (Japanese),Oita Trinita (Japanese)
Júbilo Iwata (Japanese),Cerezo Osaka (Japanese)
Júbilo Iwata (Japanese),Cerezo Osaka (Japanese)
Júbilo Iwata (Japanese),FC Tokyo (Japanese)
Kashima Antlers (Japanese),Messina (Italian)
Kashima Antlers (Japanese),Albirex Niigata (Japanese)
Kashiwa Reysol (Japanese),Omiya Ardija (Japanese)
Kashiwa Reysol (Japanese),FC Tokyo (Japanese)
Kashiwa Reysol (Japanese),Gamba Osaka (Japanese)
Kashiwa Reysol (Japanese),Oita Trinita (Japanese)
Kashiwa Reysol (Japanese),Omiya Ardija (Japanese)
Kashiwa Reysol (Japanese),Albirex Niigata (Japanese)
Kashiwa Reysol (Japanese),Albirex Niigata (Japanese)
Kashiwa Reysol (Japanese),Nagoya Grampus (Japanese)
Kashiwa Reysol (Japanese),Yokohama F Marinos (Japanese)
Kawasaki Frontale (Japanese),Avispa Fukuoka (Japanese)
Kawasaki Frontale (Japanese),Oita Trinita (Japanese)
Kawasaki Frontale (Japanese),Shimizu S-Pulse (Japanese)
Nagoya Grampus (Japanese),Kawasaki Frontale (Japanese)
Nagoya Grampus (Japanese),Kyoto Purple Sanga (Japanese)
Nagoya Grampus (Japanese),Gamba Osaka (Japanese)
Oita Trinita (Japanese),Yokohama F Marinos (Japanese)
Oita Trinita (Japanese),Gamba Osaka (Japanese)
Oita Trinita (Japanese),Avispa Fukuoka (Japanese)
Oita Trinita (Japanese),Nagoya Grampus (Japanese)
Oita Trinita (Japanese),Omiya Ardija (Japanese)
Omiya Ardija (Japanese),Ponte Preta (Brazilian)
Sanfrecce Hiroshima (Japanese),Palmeiras (Brazilian)
Sanfrecce Hiroshima (Japanese),Kyoto Purple Sanga (Japanese)
Sanfrecce Hiroshima (Japanese),Ventforet Kofu (Japanese)
Shimizu S-Pulse (Japanese),JEF United (Japanese)
Shimizu S-Pulse (Japanese),Júbilo Iwata (Japanese)
FC Tokyo (Japanese),Gamba Osaka (Japanese)
Tokyo Verdy (Japanese),Cerezo Osaka (Japanese)
Tokyo Verdy (Japanese),Ventforet Kofu (Japanese)
Tokyo Verdy (Japanese),Kawasaki Frontale (Japanese)
Tokyo Verdy (Japanese),Sanfrecce Hiroshima (Japanese)
Tokyo Verdy (Japanese),Urawa Red Diamonds (Japanese)
Tokyo Verdy (Japanese),Omiya Ardija (Japanese)
Tokyo Verdy (Japanese),Urawa Red Diamonds (Japanese)
Tokyo Verdy (Japanese),Catania (Italian)
Tokyo Verdy (Japanese),Yokohama F Marinos (Japanese)
Tokyo Verdy (Japanese),Omiya Ardija (Japanese)
Urawa Red Diamonds (Japanese),Austria Salzburg (Austrian)
Vissel Kobe (Japanese),Shimizu S-Pulse (Japanese)
Vissel Kobe (Japanese),FC Tokyo (Japanese)
Vissel Kobe (Japanese),Avispa Fukuoka (Japanese)
Vissel Kobe (Japanese),Gamba Osaka (Japanese)
Vissel Kobe (Japanese),Avispa Fukuoka (Japanese)
Vissel Kobe (Japanese),Avispa Fukuoka (Japanese)
Aberdeen (Scottish),NEC Nijmegen (Dutch)
Aberdeen (Scottish),Falkirk (Scottish)
Aberdeen (Scottish),Dunfermline Athletic (Scottish)
Celtic (Scottish),Aston Villa (English)
Celtic (Scottish),St Mirren (Scottish)
Celtic (Scottish),Kilmarnock (Scottish)
Dundee United (Scottish),Melbourne Victory (Australian)
Dundee United (Scottish),Aberdeen (Scottish)
Dundee United (Scottish),Dunfermline Athletic (Scottish)
Dundee United (Scottish),Aberdeen (Scottish)
Dundee United (Scottish),Kilmarnock (Scottish)
Dunfermline Athletic (Scottish),Rangers (Scottish)
Dunfermline Athletic (Scottish),Dundee United (Scottish)
Dunfermline Athletic (Scottish),Kilmarnock (Scottish)
Heart of Midlothian (Scottish),Celtic (Scottish)
Heart of Midlothian (Scottish),Juventude (Brazilian)
Heart of Midlothian (Scottish),Rangers (Scottish)
Heart of Midlothian (Scottish),Inverness Caledonian Thistle (Scottish)
Heart of Midlothian (Scottish),Celtic (Scottish)
Hibernian (Scottish),Celtic (Scottish)
Hibernian (Scottish),Rangers (Scottish)
Hibernian (Scottish),Dunfermline Athletic (Scottish)
Livingston (Scottish),Hibernian (Scottish)
Hibernian (Scottish),Houston Dynamo (USA)
Hibernian (Scottish),Panionios (Greek)
Inverness Caledonian Thistle (Scottish),Celtic (Scottish)
Inverness Caledonian Thistle (Scottish),Dundee United (Scottish)
Kilmarnock (Scottish),Larissa (Greek)
Livingston (Scottish),Dunfermline Athletic (Scottish)
Livingston (Scottish),St Mirren (Scottish)
Livingston (Scottish),Falkirk (Scottish)
Motherwell (Scottish),Dunfermline Athletic (Scottish)
Rangers (Scottish),Motherwell (Scottish)
Rangers (Scottish),Zenit St. Petersburg (Russian)
Rangers (Scottish),Newcastle United (English)
Rangers (Scottish),Eintracht Frankfurt (German)
Rangers (Scottish),Marseille (French)
Rangers (Scottish),Lorient (French)
Rangers (Scottish),Motherwell (Scottish)
Rangers (Scottish),Watford (English)
Anderlecht (Belgian),KSV Roeselare (Belgian)
Anderlecht (Belgian),FC Groningen (Dutch)
Anderlecht (Belgian),Sedan (French)
Anderlecht (Belgian),Roma (Italian)
Anderlecht (Belgian),Ergotelis (Greek)
Anderlecht (Belgian),Hamburger SV (German)
Anderlecht (Belgian),KSV Roeselare (Belgian)
Anderlecht (Belgian),Gençlerbirliği (Turkish)
Anderlecht (Belgian),Zulte-Waregem (Belgian)
Beveren (Belgian),KRC Genk (Belgian)
Beveren (Belgian),Metalurh Donetsk (Ukrainian)
Cercle Brugge (Belgian),KVC Westerlo (Belgian)
Cercle Brugge (Belgian),KAA Gent (Belgian)
Cercle Brugge (Belgian),NAC Breda (Dutch)
Club Brugge (Belgian),Olympiakos (Greek)
Club Brugge (Belgian),Lokeren (Belgian)
Club Brugge (Belgian),Vålerenga (Norwegian)
Club Brugge (Belgian),Gimnàstic de Tarragona (Spanish)
Club Brugge (Belgian),Germinal Beerschot (Belgian)
Club Brugge (Belgian),NEC Nijmegen (Dutch)
FC Brussels (Belgian),Willem II (Dutch)
FC Brussels (Belgian),Beveren (Belgian)
FC Brussels (Belgian),Lierse (Belgian)
FC Brussels (Belgian),Excelsior Mouscron (Belgian)
Charleroi (Belgian),Zulte-Waregem (Belgian)
Charleroi (Belgian),Cercle Brugge (Belgian)
Charleroi (Belgian),Gimnàstic de Tarragona (Spanish)
Charleroi (Belgian),Germinal Beerschot (Belgian)
Charleroi (Belgian),Standard Liège (Belgian)
Charleroi (Belgian),Recreativo Huelva (Spanish)
KRC Genk (Belgian),KVC Westerlo (Belgian)
KRC Genk (Belgian),RKC Waalwijk (Dutch)
KRC Genk (Belgian),Lierse (Belgian)
KRC Genk (Belgian),Club Brugge (Belgian)
KRC Genk (Belgian),FC Twente (Dutch)
KRC Genk (Belgian),Germinal Beerschot (Belgian)
KRC Genk (Belgian),Standard Liège (Belgian)
KAA Gent (Belgian),Anderlecht (Belgian)
KAA Gent (Belgian),RAEC Mons (Belgian)
KAA Gent (Belgian),Lierse (Belgian)
KAA Gent (Belgian),KRC Genk (Belgian)
Germinal Beerschot (Belgian),KRC Genk (Belgian)
Germinal Beerschot (Belgian),Sint-Truiden (Belgian)
Germinal Beerschot (Belgian),Willem II (Dutch)
Germinal Beerschot (Belgian),Stal Alchevsk (Ukrainian)
La Louvičre (Belgian),RAEC Mons (Belgian)
La Louvičre (Belgian),Excelsior Mouscron (Belgian)
La Louvičre (Belgian),FC Brussels (Belgian)
La Louvičre (Belgian),FC Brussels (Belgian)
La Louvičre (Belgian),FC Brussels (Belgian)
La Louvičre (Belgian),Debrecen (Hungarian)
Lierse (Belgian),Excelsior Mouscron (Belgian)
Lierse (Belgian),KVC Westerlo (Belgian)
Lierse (Belgian),Willem II (Dutch)
Lierse (Belgian),Juventude (Brazilian)
Lierse (Belgian),KRC Genk (Belgian)
Lierse (Belgian),Beveren (Belgian)
Lierse (Belgian),KSV Roeselare (Belgian)
Lierse (Belgian),Club Brugge (Belgian)
Lokeren (Belgian),Metalurh Donetsk (Ukrainian)
Lokeren (Belgian),FC Brussels (Belgian)
Lokeren (Belgian),FC Brussels (Belgian)
Excelsior Mouscron (Belgian),Charleroi (Belgian)
Excelsior Mouscron (Belgian),Lierse (Belgian)
Excelsior Mouscron (Belgian),Standard Liège (Belgian)
Excelsior Mouscron (Belgian),KAA Gent (Belgian)
KSV Roeselare (Belgian),Roda JC (Dutch)
KSV Roeselare (Belgian),Germinal Beerschot (Belgian)
KSV Roeselare (Belgian),Excelsior Mouscron (Belgian)
Sint-Truiden (Belgian),RAEC Mons (Belgian)
Sint-Truiden (Belgian),Beveren (Belgian)
Sint-Truiden (Belgian),Beveren (Belgian)
Standard Liège (Belgian),Beşiktaş (Turkish)
